Model,Accuracy,Precision (Positive),Recall (Positive),F1-Score (Positive),Precision (Negative),Recall (Negative),F1-Score (Negative)
决策树_词袋模型,0.8184432036003,0.9021329987452948,0.7160760229064652,0.7984083653356776,0.7629901621172233,0.9216670851117248,0.8348557783421142
决策树_tfidf,0.798774897908159,0.8797601514832737,0.6940824964727363,0.7759684527951751,0.7456527739442451,0.9043434597037409,0.8173669679664158
朴素贝叶斯_tfidf,0.8764063671972664,0.8567276726101641,0.9052203502365341,0.8803066989507667,0.8986420520102956,0.8473512427818227,0.8722432804962095
SVM_tfidf,0.8341945162096841,0.8431122448979592,0.8228898663789526,0.8328783233231131,0.8256251021408727,0.8455937735375345,0.8354901393310457
SVM_word2vec,0.9101175097924827,0.9036233066753713,0.9189974271723794,0.9112455252437971,0.9168937329700273,0.9011632772616955,0.9089604524543115
